Rank,Country,ETF_Ticker,Factsheet_URL,Downloaded_File
17,Australia,EWA,https://www.ishares.com/us/literature/fact-sheet/ewa-ishares-msci-australia-etf-fund-fact-sheet-en-us.pdf,17_Australia_EWA_factsheet.pdf
18,Thailand,THD,https://www.ishares.com/us/literature/fact-sheet/thd-ishares-msci-thailand-etf-fund-fact-sheet-en-us.pdf,18_Thailand_THD_factsheet.pdf
19,Norway,ENOR,https://www.ishares.com/us/literature/fact-sheet/enor-ishares-msci-norway-etf-fund-fact-sheet-en-us.pdf,19_Norway_ENOR_factsheet.pdf
20,Colombia,GXG,https://assets.globalxetfs.com/funds/documents/colo/Fact-Sheet_COLO.pdf,20_Colombia_GXG_factsheet.pdf
21,Italy,EWI,https://www.ishares.com/us/literature/fact-sheet/ewi-ishares-msci-italy-etf-fund-fact-sheet-en-us.pdf,21_Italy_EWI_factsheet.pdf
22,South Africa,EZA,https://www.ishares.com/us/literature/fact-sheet/eza-ishares-msci-south-africa-etf-fund-fact-sheet-en-us.pdf,22_South_Africa_EZA_factsheet.pdf
23,Spain,EWP,https://www.ishares.com/us/literature/fact-sheet/ewp-ishares-msci-spain-etf-fund-fact-sheet-en-us.pdf,23_Spain_EWP_factsheet.pdf
24,Greece,GREK,https://assets.globalxetfs.com/funds/documents/grek/Fact-Sheet_GREK.pdf,24_Greece_GREK_factsheet.pdf
25,United States,IVV,https://www.ishares.com/us/literature/fact-sheet/ivv-ishares-core-s-p-500-etf-fund-fact-sheet-en-us.pdf,25_United_States_IVV_factsheet.pdf
26,Ireland,EIRL,https://www.ishares.com/us/literature/fact-sheet/eirl-ishares-msci-ireland-etf-fund-fact-sheet-en-us.pdf,26_Ireland_EIRL_factsheet.pdf
27,Denmark,EDEN,https://www.ishares.com/us/literature/fact-sheet/eden-ishares-msci-denmark-etf-fund-fact-sheet-en-us.pdf,27_Denmark_EDEN_factsheet.pdf
28,Germany,EWG,https://www.ishares.com/us/literature/fact-sheet/ewg-ishares-msci-germany-etf-fund-fact-sheet-en-us.pdf,28_Germany_EWG_factsheet.pdf
29,Finland,EFNL,https://www.ishares.com/us/literature/fact-sheet/efnl-ishares-msci-finland-etf-fund-fact-sheet-en-us.pdf,29_Finland_EFNL_factsheet.pdf
30,Belgium,EWK,https://www.ishares.com/us/literature/fact-sheet/ewk-ishares-msci-belgium-etf-fund-fact-sheet-en-us.pdf,30_Belgium_EWK_factsheet.pdf
31,Canada,EWC,https://www.ishares.com/us/literature/fact-sheet/ewc-ishares-msci-canada-etf-fund-fact-sheet-en-us.pdf,31_Canada_EWC_factsheet.pdf
32,Taiwan,EWT,https://www.ishares.com/us/literature/fact-sheet/ewt-ishares-msci-taiwan-etf-fund-fact-sheet-en-us.pdf,32_Taiwan_EWT_factsheet.pdf
33,Sweden,EWD,https://www.ishares.com/us/literature/fact-sheet/ewd-ishares-msci-sweden-etf-fund-fact-sheet-en-us.pdf,33_Sweden_EWD_factsheet.pdf
34,Netherlands,EWN,https://www.ishares.com/us/literature/fact-sheet/ewn-ishares-msci-netherlands-etf-fund-fact-sheet-en-us.pdf,34_Netherlands_EWN_factsheet.pdf
35,Switzerland,EWL,https://www.ishares.com/us/literature/fact-sheet/ewl-ishares-msci-switzerland-etf-fund-fact-sheet-en-us.pdf,35_Switzerland_EWL_factsheet.pdf
36,Austria,EWO,https://www.ishares.com/us/literature/fact-sheet/ewo-ishares-msci-austria-etf-fund-fact-sheet-en-us.pdf,36_Austria_EWO_factsheet.pdf
